Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Copper oxide removal and surface cleaning"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Copper absorption and minimal substrate damage"
"spotSize","50","μm","0.1","500","Optimal spot diameter for balancing cleaning efficiency and processing speed"
"repetitionRate","100","kHz","1","200","High repetition rate for efficient cleaning coverage while maintaining process control"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Minimum fluence required for effective Copper oxide removal"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective oxide removal without excessive thermal diffusion"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning with adequate energy deposition"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal pulse overlap for uniform cleaning without excessive heat accumulation"
"power","200","W","50","500","Typical range for industrial 1064 nm fiber lasers cleaning copper; start at 200 W to balance efficiency and avoid thermal damage due to copper's high reflectivity and conductivity. Max safe before substrate melting ~500 W with proper scanning. Source: IPG Photonics specs and study in Journal of Laser Applications (2018)."
"scan_speed","2000","mm/s","10","5000","Effective range for contamination removal; 2000 mm/s recommended for light contaminants on copper to minimize heat accumulation. Slower (500-1000 mm/s) for heavy oxidation, faster for surface prep. Source: CleanLaser equipment manuals and Optics and Lasers in Engineering (2020)."
"pulse_width","50","ns","0.1","1000","Nanosecond regime typical for copper cleaning at 1064 nm; 50 ns recommended for minimal heat-affected zone (HAZ) while ablating contaminants without melting substrate. Picosecond (ps) options (1-10 ps) reduce HAZ further but increase cost. Femtosecond less common industrially. Source: Laser physics review in Applied Surface Science (2019)."
"repetition_rate","50","kHz","1","200","Standard for pulsed cleaning; 50 kHz balances speed and heat management on reflective copper—higher rates (>80 kHz) accelerate cleaning but risk accumulation. Lower for heavy contaminants. Source: Academic literature in Optics Express (2017) on metal ablation."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe contaminant removal; copper damage threshold ~4-5 J/cm² at 1064 nm, so 1.5 J/cm² recommended to ablate oxides without substrate harm, considering high thermal conductivity. Source: Ablation threshold studies in Physical Review B (2015) and Journal of Applied Physics (2021)."
"spot_size","200","μm","0.1","500","Beam diameter range for industrial cleaning; 200 μm recommended for copper to achieve uniform fluence on detailed surfaces vs. larger (300-500 μm) for broad areas. Smaller for precision. Source: Laser equipment specs from Coherent Inc. and process studies in Surface and Coatings Technology (2019)."
"pass_count","2","passes","1","10","Typically 1-3 passes for complete removal on copper; 2 passes recommended for multi-layer contaminants to ensure uniformity without excessive heat. Single pass for light cleaning. Source: Industry case studies in Laser Cleaning Handbook (2022) and practical reports from SPIE proceedings."
"overlap_ratio","60","%","10","90","Standard for uniform coverage; 60% recommended for copper to prevent gaps in cleaning while avoiding overexposure and thermal stress. Higher (70-80%) for heavy contamination, lower for speed. Source: Process optimization in Journal of Cleaner Production (2020)."